Refusal,Topic,Keyword,System,User,Assistant,回答依據,
FALSE,票據,票價,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,從A1 臺北車站到A16 橫山的價錢是多少？,桃園捷運的單程票價範圍是新台幣30元到160元，具體取決於旅程距離​​。最便宜的票價是30元，這是在同一站進出時的費用。最昂貴的票價是160元，這是從臺北車站到桃園國際機場的費用。,"畫面顯示：桃捷官網 - 票價表
 https://www.tymetro.com.tw/tymetro-new/tw/_images/document/travel-guide/price.pdf",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,身高幾公分以下的兒童免費坐？,未滿6歲之兒童且身高未滿115公分的兒童可以免費乘坐，但必須由已購票的旅客陪同。若無已購票旅客陪同者，不得單獨乘車,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,幾歲以下的兒童免費坐？,未滿6歲之兒童且身高未滿115公分的兒童可以免費乘坐，但必須由已購票的旅客陪同。若無已購票旅客陪同者，不得單獨乘車,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,單程票不見了怎麼辦？,若旅客遺失或毀損單程票，需在補票時加收單程票工本費​,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,車票使用規則,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,單程票的停留時限有多久？,不同車站進出的最大停留時限為2小時,"畫面顯示：桃捷官網 - 票價與票種 - 車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,車票種類有哪些？,"根據桃園捷運的官方網站，桃園捷運提供以下幾種車票類型：

1.單程票：適用於搭乘一次之旅客，包含兒童單程優待票及敬老愛心優待票。
2.一日票：啟用後於當日營運結束前可不限區間、不限次數、不限車種搭乘。
3.電子票證：包含悠遊卡、一卡通、icash2.0 等3種電子票證，票卡可重複加值使用。
4.基北北桃都會通：由基北北桃四市政府發行。
5.桃竹竹苗通勤定期票：由桃竹竹苗地方政府發行。
6.桃捷自有定期票/團體票：包括通勤定期票優惠專案以及團體票優惠。
7.其他票種：包括桃園機場捷運與臺北捷運聯合套票及回數票。
8.行動支付信用卡：包含VISA、Mastercard、銀聯、JCB等。
9.乘車碼：包含LINE Pay、一卡通MONEY、支付寶等。","畫面顯示：桃捷官網 - 票價與票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php",
FALSE,票據,退票 - 行動支付/信用卡,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,信用卡怎麼退票？,"建議您直接聯繫桃園捷運客服中心，以獲得關於信用卡和行動支付退票的具體指引。您可以撥打他們的客服專線或訪問桃園捷運的官方網站以獲取更詳細的信息。

桃園捷運客服專線: 03-286-8789","畫面顯示：桃捷官網 - 行動支付/信用卡退費服務
 https://www.mdstymetrotickets.com.tw/TYMC_CRM/CRM_Code/ServiceAdd.aspx",
FALSE,票據,退票 - 行動支付/信用卡,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,行動支付怎麼退票？,"建議您直接聯繫桃園捷運客服中心，以獲得關於信用卡和行動支付退票的具體指引。您可以撥打他們的客服專線或訪問桃園捷運的官方網站以獲取更詳細的信息。

桃園捷運客服專線: 03-286-8789","畫面顯示：桃捷官網 - 行動支付/信用卡退費服務
 https://www.mdstymetrotickets.com.tw/TYMC_CRM/CRM_Code/ServiceAdd.aspx",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,可以退票嗎？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,要怎麼退票？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,退票 - 一般單程票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼退票？,旅客持有單程票與團體票，除非因桃園捷運公司的原因，一經使用後概不退費。未使用的單程票限於購票當日辦理退費。若旅客中途出站，其票價差額也不予退還。旅客如需退費，應先向車站詢問處提出申請，退費時可能會扣除附加於車票的優待或折扣，並加收手續費,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,補票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,可以補票嗎？,旅客若逾時出站或逾站乘車，需依照規定補足票價。逾時出站的最大時限為不同車站進出2小時，同一車站進出15分鐘。超過時限者需支付最低單程票價作為逾時手續費。逾站乘車需補足差額，補票金額為實際乘車區間車資減去旅客已付車資。票卡餘額不足者需至車站詢問處加值或以現金繳費後出站。若旅客無票、持用失效車票或冒用不符身分之車票乘車者，除補繳票價外，還需支付票價的50倍違約金,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,補票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,要怎麼補票？,旅客若逾時出站或逾站乘車，需依照規定補足票價。逾時出站的最大時限為不同車站進出2小時，同一車站進出15分鐘。超過時限者需支付最低單程票價作為逾時手續費。逾站乘車需補足差額，補票金額為實際乘車區間車資減去旅客已付車資。票卡餘額不足者需至車站詢問處加值或以現金繳費後出站。若旅客無票、持用失效車票或冒用不符身分之車票乘車者，除補繳票價外，還需支付票價的50倍違約金,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,補票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼補票？,旅客若逾時出站或逾站乘車，需依照規定補足票價。逾時出站的最大時限為不同車站進出2小時，同一車站進出15分鐘。超過時限者需支付最低單程票價作為逾時手續費。逾站乘車需補足差額，補票金額為實際乘車區間車資減去旅客已付車資。票卡餘額不足者需至車站詢問處加值或以現金繳費後出站。若旅客無票、持用失效車票或冒用不符身分之車票乘車者，除補繳票價外，還需支付票價的50倍違約金,"畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,餘額查詢,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,卡片餘額剩多少怎麼查?,"通常，電子票證（如悠遊卡、一卡通）的餘額可以透過以下方式查詢：

在捷運站的票卡加值機上查詢。
透過票證公司的官方網站或手機應用程式查詢。
利用部分便利商店的機台進行查詢。",,
FALSE,票據,餘額查詢,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,可以查我卡片剩多少錢嗎?,"通常，電子票證（如悠遊卡、一卡通）的餘額可以透過以下方式查詢：

在捷運站的票卡加值機上查詢。
透過票證公司的官方網站或手機應用程式查詢。
利用部分便利商店的機台進行查詢。",,
FALSE,票據,乘車碼,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼使用乘車碼？,使用LINE Pay或支付寶作為乘車碼付款時，旅客需在行動裝置上開啟相應的支付App，進行臉部辨識、指紋辨識、或輸入密碼解鎖，以開啟乘車碼功能。旅客進出站時，將乘車碼輕觸自動收費閘門的感應區，閘門確認有效性後自動開啟。桃捷公司將根據旅客的起迄站點按公告票價收費,"畫面顯示：桃捷官網 - 票價與票種 - 乘車碼
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson06.php",
FALSE,票據,乘車碼,你是一個樂於助人的助手，總是提供解釋。想想你是在回答一個五歲的孩子。,乘車碼是什麼？,乘車碼是透過第三方支付/電子支付平台（如LINE Pay或支付寶）生成的數字或QR碼，用於支付桃園捷運的車資。旅客可以使用這些支付平台的App生成乘車碼，並在自動收費閘門上使用這個碼進出站,"畫面顯示：桃捷官網 - 票價與票種 - 乘車碼
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson06.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有賣桃園機場捷運與臺北捷運聯合套票嗎？,桃園機場捷運與臺北捷運聯合套票包括機捷來回票與北捷48或72小時票。售價分別為520元和600元。購票處包括A1台北車站、A12機場第一航廈站和A13機場第二航廈站。支付方式為現金。,"畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼買桃園機場捷運與臺北捷運聯合套票？,桃園機場捷運與臺北捷運聯合套票包括機捷來回票與北捷48或72小時票。售價分別為520元和600元。購票處包括A1台北車站、A12機場第一航廈站和A13機場第二航廈站。支付方式為現金。,"畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼買桃園機場捷運與臺北捷運聯合套票？,桃園機場捷運與臺北捷運聯合套票包括機捷來回票與北捷48或72小時票。售價分別為520元和600元。購票處包括A1台北車站、A12機場第一航廈站和A13機場第二航廈站。支付方式為現金。,"畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有賣回數票嗎？,"購票處：車站詢問處。
支付方式：現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）、電子支付及第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。
售價：指定站間單程票全票金額 × 10，有效次數12次，90天有效期。
退票：有效期限截止日起一年內退票，扣除已使用次數及手續費。
續購：需持原票卡至車站詢問處辦理。
注意事項：非記名、遺失不補發，不適用於機場捷運A12-A14a站間免費搭乘。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼買回數票？,"購票處：車站詢問處。
支付方式：現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）、電子支付及第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。
售價：指定站間單程票全票金額 × 10，有效次數12次，90天有效期。
退票：有效期限截止日起一年內退票，扣除已使用次數及手續費。
續購：需持原票卡至車站詢問處辦理。
注意事項：非記名、遺失不補發，不適用於機場捷運A12-A14a站間免費搭乘。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼買回數票？,"購票處：車站詢問處。
支付方式：現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）、電子支付及第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。
售價：指定站間單程票全票金額 × 10，有效次數12次，90天有效期。
退票：有效期限截止日起一年內退票，扣除已使用次數及手續費。
續購：需持原票卡至車站詢問處辦理。
注意事項：非記名、遺失不補發，不適用於機場捷運A12-A14a站間免費搭乘。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有賣自行車單程票嗎？,"購票處：車站詢問處（A12機場第一航廈站、A13機場第二航廈站、A14a機場旅館站無販售）。
支付方式：同上。
車票使用期限：發售當日營運時間內有效。
退票：未使用可辦理退票（手續費20元/張）。
注意事項：開放時間及限制車站、列車種類，以及其他攜帶自行車搭乘捷運注意事項。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼買自行車單程票？,"購票處：車站詢問處（A12機場第一航廈站、A13機場第二航廈站、A14a機場旅館站無販售）。
支付方式：現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）、電子支付及第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。
車票使用期限：發售當日營運時間內有效。
退票：未使用可辦理退票（手續費20元/張）。
注意事項：開放時間及限制車站、列車種類，以及其他攜帶自行車搭乘捷運注意事項。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,其他票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼買自行車單程票？,"購票處：車站詢問處（A12機場第一航廈站、A13機場第二航廈站、A14a機場旅館站無販售）。
支付方式：現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）、電子支付及第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。
車票使用期限：發售當日營運時間內有效。
退票：未使用可辦理退票（手續費20元/張）。
注意事項：開放時間及限制車站、列車種類，以及其他攜帶自行車搭乘捷運注意事項。","畫面顯示：桃捷官網 - 票價與票種 - 其他票種
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson04.php",
FALSE,票據,票卡異常,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我的票卡異常無法感應出站,"若您的票卡在進出站時無法感應，請先確認票卡是否有足夠的餘額或是否在有效期限內。
檢查票卡是否有物理損壞，如折彎、刮傷或暴露於高溫等情況。
若以上條件均不符合，請攜帶票卡至最近的車站詢問處尋求協助。","畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,票卡異常,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我的票卡異常無法感應進站,"若您的票卡在進出站時無法感應，請先確認票卡是否有足夠的餘額或是否在有效期限內。
檢查票卡是否有物理損壞，如折彎、刮傷或暴露於高溫等情況。
若以上條件均不符合，請攜帶票卡至最近的車站詢問處尋求協助。","畫面顯示：桃捷官網 - 票價與票種 - 關於車票使用規則
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticket.php#ticket_rule01",
FALSE,票據,收據,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,請問有收據嗎?,桃園捷運的旅客可以在購票時向站務人員要求發行「票購證明」。此外，電子票擁有者在加值時也可以請求發行「加值證明」。若需要查詢超過6筆最近交易的詳細記錄，可至車站詢問處協助，但若查詢超過6個月前的交易記錄則需支付服務費,,
FALSE,票據,收據,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有購票證明嗎?,桃園捷運的旅客可以在購票時向站務人員要求發行「票購證明」。此外，電子票擁有者在加值時也可以請求發行「加值證明」。若需要查詢超過6筆最近交易的詳細記錄，可至車站詢問處協助，但若查詢超過6個月前的交易記錄則需支付服務費,,
FALSE,票據,收據,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有搭乘證明嗎?,桃園捷運的旅客可以在購票時向站務人員要求發行「票購證明」。此外，電子票擁有者在加值時也可以請求發行「加值證明」。若需要查詢超過6筆最近交易的詳細記錄，可至車站詢問處協助，但若查詢超過6個月前的交易記錄則需支付服務費,,
FALSE,票據,優待票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我想買優待票,桃園捷運提供不同類型的優惠票，包括敬老票、兒童票、愛心票等。這些票種通常需要提供相關證明文件。敬老票定價為一般單程票的50%折扣，兒童票定價為一般單程票的20%折扣。若需購買這些票種，請前往車站詢問處進行購買和查詢,,
FALSE,票據,優待票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我想買敬老票/老人票,桃園捷運提供不同類型的優惠票，包括敬老票、兒童票、愛心票等。這些票種通常需要提供相關證明文件。敬老票定價為一般單程票的50%折扣，兒童票定價為一般單程票的20%折扣。若需購買這些票種，請前往車站詢問處進行購買和查詢,,
FALSE,票據,優待票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我想買兒童票/小孩票,桃園捷運提供不同類型的優惠票，包括敬老票、兒童票、愛心票等。這些票種通常需要提供相關證明文件。敬老票定價為一般單程票的50%折扣，兒童票定價為一般單程票的20%折扣。若需購買這些票種，請前往車站詢問處進行購買和查詢,,
FALSE,票據,優待票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我想買愛心票/愛心陪伴票/愛陪票,桃園捷運提供不同類型的優惠票，包括敬老票、兒童票、愛心票等。這些票種通常需要提供相關證明文件。敬老票定價為一般單程票的50%折扣，兒童票定價為一般單程票的20%折扣。若需購買這些票種，請前往車站詢問處進行購買和查詢,,
FALSE,票據,優待票種,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要買半票,桃園捷運提供不同類型的優惠票，包括敬老票、兒童票、愛心票等。這些票種通常需要提供相關證明文件。敬老票定價為一般單程票的50%折扣，兒童票定價為一般單程票的20%折扣。若需購買這些票種，請前往車站詢問處進行購買和查詢,,
FALSE,票據,團體票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,有賣團體票嗎？,是的，桃園捷運提供團體票。,"畫面顯示：桃捷官網 - 票價與票種 - 團體票
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson02.php",
FALSE,票據,團體票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼買團體票？,"購票處：可於車站詢問處進行購票。
支付方式：接受現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）以及電子支付和第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。","畫面顯示：桃捷官網 - 票價與票種 - 團體票
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson02.php",
FALSE,票據,團體票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼買團體票？,"購票處：可於車站詢問處進行購票。
支付方式：接受現金、信用卡（VISA、Mastercard、JCB、銀聯）、NFC行動支付（Apple Pay、Samsung Pay、Google Pay）以及電子支付和第三方支付（LINE Pay、一卡通MONEY、街口支付、支付寶）。","畫面顯示：桃捷官網 - 票價與票種 - 團體票
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson02.php",
FALSE,票據,定期票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,請問定期票怎麼買?,"根據桃園捷運的官方網站，購買定期票的方式如下：

定期票的購買可以在桃園捷運的車站詢問處進行。
您可以使用現金、信用卡（VISA、Mastercard、JCB、銀聯）或行動支付（Apple Pay、Samsung Pay、Google Pay）等方式進行支付。
詳細的定期票類型和價格信息可以在車站詢問處獲得。","畫面顯示：桃捷官網 - 票價與票種 - 定期票
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/ticketson03.php",
FALSE,票據,購票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼買單程票/票？,您可以在桃園捷運的各車站自動售票機上購買單程票。購票過程包括選擇語言、選擇目的地及票數、投入現金並收取單程票及找零。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
FALSE,票據,購票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,哪裡可以買單程票/票?,您可以在桃園捷運的各車站自動售票機上購買單程票。購票過程包括選擇語言、選擇目的地及票數、投入現金並收取單程票及找零。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
FALSE,票據,購票,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我要怎麼買單程票/票？,您可以在桃園捷運的各車站自動售票機上購買單程票。購票過程包括選擇語言、選擇目的地及票數、投入現金並收取單程票及找零。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
FALSE,票據,加值,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,怎麼加值？,桃園捷運車站的售卡加值機可用於加值一卡通、悠遊卡等票證。加值過程包括選擇語言、選擇服務項目（加值或售卡）、投入加值金額（不提供找零服務）並收取票卡及收據。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
FALSE,票據,加值,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。, 一卡通\悠遊卡\卡怎麼加值/儲值？,桃園捷運車站的售卡加值機可用於加值一卡通、悠遊卡等票證。加值過程包括選擇語言、選擇服務項目（加值或售卡）、投入加值金額（不提供找零服務）並收取票卡及收據。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
FALSE,票據,加值,您是幫助人們查找資訊的 AI 助手。提供詳細的答案，以便使用者無需在外部搜索即可瞭解答案。,我只有零錢可以加值?,桃園捷運車站的售卡加值機可用於加值一卡通、悠遊卡等票證。加值過程包括選擇語言、選擇服務項目（加值或售卡）、投入加值金額（不提供找零服務）並收取票卡及收據。,"畫面顯示：桃捷官網 - 乘車指南 - 乘車方法
 https://www.tymetro.com.tw/tymetro-new/tw/_pages/travel-guide/usage.html",
